data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6160646,300,GRC1031,1031,2019-10-17,2019,1,Protests,Protest with intervention,Protesters (Greece),Libertarian Initiative; Rouvikonas,6,Police Forces of Greece (2019-),,1,16,Europe,Greece,Central Macedonia,Thessaloniki,Thessaloniki,Thessaloniki,40.6436,22.9309,1,AMNA; Ekathimerini; MAKEDONIA,Subnational-National,"On 17 October, twelve anarchists were arrested and charged for ""exposure to the threat of retaliation"" after illegally entering the Ataturk Museum to protest against Turkey's military operations in Syria and express solidarity to Rojava. The ""Anarchist Federation"" consisting of members of Rouvikonas and the Libertarian Initiative of Thessaloniki claimed responsibility. The museum is the birthplace of the founder of modern Turkey and also houses the Turkish consulate of Thessaloniki. This is the second week of similar protests in Greece. [size=12]",0,1571776728,GRC
6160647,300,GRC1036,1036,2019-10-17,2019,1,Protests,Peaceful protest,Protesters (Greece),PAME: All-Workers Militant Front; Labour Group (Greece),6,,,0,60,Europe,Greece,Central Macedonia,Thessaloniki,Thessaloniki,Thessaloniki,40.6436,22.9309,1,To Vima,National,"On 17 October, members of PAME marched in Thessaloniki to protest against the proposed development bill. [size=no report]",0,1571776728,GRC
6160648,300,GRC1037,1037,2019-10-17,2019,1,Protests,Peaceful protest,Protesters (Greece),Rouvikonas; Libertarian Initiative; Pueblo,6,,,0,60,Europe,Greece,Central Macedonia,Thessaloniki,Thessaloniki,Thessaloniki,40.6436,22.9309,1,AMNA; Ekathimerini; To Vima,National,"On 17 October, about 10 members of the anarchist collectives Pueblo, Libertarian Initiative and Rouvikonas rallied at the departures area of Thessaloniki's airport and protested in front of the check-in counter of Turkish Airlines against Turkey's military operations in Syria. A similar protest took place on the same day at the Turkish consulate. This is the second week of protests over this issue in Greece. [size=about 10]",0,1571776728,GRC
6160649,300,GRC1025,1025,2019-10-17,2019,1,Protests,Peaceful protest,Protesters (Greece),POE-OTA: Panhellenic Federation of Workers of the Organisation of Local Administration Authorities; Labour Group (Greece),6,,,0,60,Europe,Greece,Attica,Athens,Central Athens,Athens-Central Athens,37.9685,23.7585,1,AMNA; Ekathimerini,National,"On 17 October, municipal workers on a strike action supported by their federation union POE-OTA marched in central Athens to protest against the proposed development bill. [size=no report]",0,1571776728,GRC
6160650,300,GRC1035,1035,2019-10-17,2019,1,Protests,Peaceful protest,Protesters (Greece),PAME: All-Workers Militant Front; Labour Group (Greece),6,,,0,60,Europe,Greece,Attica,Athens,Central Athens,Athens-Central Athens,37.9685,23.7585,1,To Vima,National,"On 17 October, members of PAME marched in central Athens to protest against the proposed development bill. [size=no report]",0,1571776728,GRC
6160651,300,GRC1027,1027,2019-10-17,2019,1,Protests,Peaceful protest,Protesters (Greece),Students (Greece); ANTARSYA: Front of the Greek Anticapitalist Left; KKE: Communist Party of Greece,6,,,0,60,Europe,Greece,Attica,Athens,Central Athens,Athens-Central Athens,37.9685,23.7585,1,To Vima,National,"On 17 October, students that are members of ANTARSYA and KKE rallied at the Athens University of Economics and Business and occupied the school to protest against the abolition of the university asylum law. The Rector's office announced that the protesters are not members of the official students' union. [size=no report]",0,1571776728,GRC
6160658,300,GRC1034,1034,2019-10-17,2019,1,Protests,Peaceful protest,Protesters (Greece),Kurdish Ethnic Group (Greece); ANTARSYA: Front of the Greek Anticapitalist Left,6,,,0,60,Europe,Greece,Central Macedonia,Thessaloniki,Thessaloniki,Thessaloniki,40.6436,22.9309,1,ThessNews; MAKEDONIA,Subnational,"On 17 October, members of ANTARSYA joined Kurdish protesters in a march in central Thessaloniki. They protested against Turkey's military operations in Syria. This is the second week of similar protests in Greece. [size=no report]",0,1571776728,GRC
6160663,300,GRC1026,1026,2019-10-17,2019,1,Protests,Protest with intervention,Protesters (Greece),Kurdish Ethnic Group (Greece),6,Police Forces of Greece (2019-) Units for the Reinstatement of Order,,1,16,Europe,Greece,Attica,Athens,Central Athens,Athens-Central Athens,37.9685,23.7585,1,AMNA; Ekathimerini,National,"On 17 October, Kurdish demonstrators marched in central Athens to protest against Turkey's military operations in Syria. Police prevented them from reaching the Turkish embassy. This is the second week of similar protests in Greece. [size=no report]",0,1571776728,GRC
6160641,300,GRC1030,1030,2019-10-16,2019,1,Protests,Peaceful protest,Protesters (Greece),Students (Greece),6,,,0,60,Europe,Greece,Central Macedonia,Thessaloniki,Thessaloniki,Thessaloniki,40.6436,22.9309,1,MAKEDONIA,Subnational,"On 16 October, members of the Student Struggle Front rallied outside the offices of the public bus company to protest for better services and for students to ride for free. [size=no report]",0,1571776728,GRC
6160642,300,GRC1023,1023,2019-10-16,2019,1,Protests,Peaceful protest,Protesters (Greece),,6,,,0,60,Europe,Greece,Central Macedonia,Thessaloniki,Thessaloniki,Thessaloniki,40.6436,22.9309,1,ThessNews; MAKEDONIA,Subnational,"On 16 October, members of the local party ""Menoume Thessaloniki"" rallied near the Turkish Consulate to protest against Turkey's military operations in Syria. They were holding banners against ""Turkish expansionism"" and shouting slogans connecting recent events to the massacres of Pontic and Armenian populations, as well as in Minor Asia and Cyprus. This is the second week of similar protests in Greece. [size=no report]",0,1571776728,GRC
6160652,300,GRC1028,1028,2019-10-16,2019,1,Protests,Peaceful protest,Protesters (International),Refugees/IDPs (International),6,,,0,60,Europe,Greece,North Aegean,Samos,Samos,Samos,37.7574,26.9762,1,AMNA; To Pontiki,National,"On 16 October, refugees and migrants living in open-air public spaces at the capital of Samos staged a sitting protest after this week's riots and fire at the reception centre in Samos that burned a large part of the camp. [size=no report]",0,1571776728,GRC
6160645,300,GRC1022,1022,2019-10-15,2019,1,Protests,Peaceful protest,Protesters (Greece),SYRIZA: Coalition of the Radical Left,6,,,0,60,Europe,Greece,Central Macedonia,Thessaloniki,Thessaloniki,Thessaloniki,40.6436,22.9309,1,ThessNews,Subnational,"On 15 October, members of SYRIZA rallied in front of the White Tower police station in Thessaloniki distributing fliers to protest over the way the government is handling the refugee and migration issue. [size=no report]",0,1571776728,GRC
6160635,300,GRC1018,1018,2019-10-14,2019,1,Riots,Mob violence,Unidentified Armed Group (Afghanistan),Refugees/IDPs (Afghanistan),3,Rioters (Syria),Refugees/IDPs (Syria),5,35,Europe,Greece,North Aegean,Samos,Samos,Samos,37.7574,26.9762,1,AMNA; Ekathimerini; To Vima,National,"On 14 October, a violent incident erupted in the regional capital of Samos between a group of Afghans and a group of Syrian asylum seekers. Three Syrians were stabbed with sharp objects and were hospitalised. The incident resulted in clashes spreading in the reception centre of Samos, where a fire broke out burning a large part of the camp. There were no injuries. Over the following days, more police was sent to the island and 12 people were arrested. [size=no report]",0,1571776728,GRC
6160636,300,GRC1019,1019,2019-10-14,2019,1,Protests,Peaceful protest,Protesters (Greece),,6,,,0,60,Europe,Greece,North Aegean,Lesbos,Lesbos,Skala Sykamineas,39.3732,26.3028,1,Ekathimerini; To Vima,National,"On 14 October, residents from nearby villages protested at Skala Sykamineas in Lesvos by symbolically throwing rocks at humanitarian vessel Open Arms and preventing it from docking. The vessel with 100 refugees and migrants on board from rescue missions in the Meditarrenean remained anchored at around 200 meters from the coast. [size=no report]",0,1571776728,GRC
6025356,300,GRC1001,1001,2019-10-12,2019,1,Protests,Peaceful protest,Protesters (Greece),Kurdish Ethnic Group (Greece); ANTARSYA: Front of the Greek Anticapitalist Left,6,,,0,60,Europe,Greece,Central Macedonia,Thessaloniki,Thessaloniki,Thessaloniki,40.6436,22.9309,1,To Vima; MAKEDONIA; Ekathimerini,Subnational-National,"On 12 October, Kurdish protesters and their left-wing supporters including ANTARSYA, reaching about 1,000 protesters in total, demonstrated in central Thessaloniki in solidarity with the Kurdish population in north-eastern Syria that is under attack by Turkey. They shouted slogans against the president of Turkey and they burned pictures of him and Turkish flags. [size=about 1,000]",0,1571160220,GRC
6025362,300,GRC1014,1014,2019-10-12,2019,1,Riots,Mob violence,Rioters (Greece),,5,Police Forces of Greece (2019-),,1,15,Europe,Greece,Attica,Athens,North Athens,Athens-North Athens,38.0465,23.8146,1,To Vima; Ekathimerini,National,"On 12 September, in the morning, a group of unknown assailants targeted with petrol bombs a police station in Penteli in north Athens damaging a parked police car. No injuries were reported. Four people were detained briefly. [size=no report]",0,1571160220,GRC
6025364,300,GRC1017,1017,2019-10-12,2019,1,Protests,Peaceful protest,Protesters (Greece),Kurdish Ethnic Group (Greece); SYRIZA: Coalition of the Radical Left,6,,,0,60,Europe,Greece,Attica,Athens,Central Athens,Athens-Central Athens,37.9685,23.7585,1,I Avgi; To Vima; Ekathimerini,National,"On 12 October, about 2,000 Kurdish protesters and members of leftist organisations including the youth wing of SYRIZA demonstrated in Athens in solidarity with the Kurdish population in north-eastern Syria that is under attack by Turkey. Police had blocked the way to the Turkish embassy. A small contingent of 150 protesters marched to the US embassy. [size=about 2,000]",0,1571160220,GRC
6025650,300,GRC1015,1015,2019-10-12,2019,1,Riots,Mob violence,Rioters (Greece),,5,Police Forces of Greece (2019-) Units for the Reinstatement of Order,,1,15,Europe,Greece,Attica,Athens,Central Athens,Athens-Central Athens,37.9685,23.7585,1,Ekathimerini,National,"On 12 September, unidentified assailants hurled bottles and stones at a riot police unit stationed in Exarchia. This attack occurred an hour after a police station was targeted in Penteli in north Athens. [size=no report]",0,1571160220,GRC
6160637,300,GRC1020,1020,2019-10-12,2019,1,Protests,Peaceful protest,Protesters (Greece),,6,,,0,60,Europe,Greece,Thessaly,Karditsa,Karditsa,Karditsa,39.3648,21.9219,1,To Pontiki,National,"On 12 October, more than 1,000 demonstrators from all over Greece rallied in central Karditsa and marched in the city to protest against installing wind turbines on Agrafa, the southernmost part of the Pindus mountain range. There was discreet police presence but the protest was peaceful. [size=more than 1,000]",0,1571776728,GRC
6025361,300,GRC1013,1013,2019-10-11,2019,1,Riots,Violent demonstration,Rioters (Greece),Students (Greece),5,Police Forces of Greece (2019-) Units for the Reinstatement of Order,,1,15,Europe,Greece,Attica,Athens,Central Athens,Athens-Central Athens,37.9685,23.7585,1,Ekathimerini; AMNA; FoititikaNea,National,"On 11 October, a student demonstration in Athens against the abolition of the university asylum law and other reforms to the higher education system turned violent when students tried to break a police cordon barring access to the Parliament building using wooden sticks. Police responded with tear gas and stun grenades. No injuries or detentions were reported. Students also occupied at least 16 university buildings in Athens and other cities.[size=no report]",0,1571160220,GRC
6025363,300,GRC1016,1016,2019-10-11,2019,1,Protests,Peaceful protest,Protesters (Greece),Students (Greece),6,,,0,60,Europe,Greece,Central Macedonia,Thessaloniki,Thessaloniki,Thessaloniki,40.6436,22.9309,1,FoititikaNea; MAKEDONIA; To Pontiki,Subnational-National,"On 11 October, students marched in central Thessaloniki to protest against the abolition of the university asylum law and other reforms to the higher education system. When they arrived at the Ministry of Macedonia-Thrace they spray-painted slogans. Students also occupied the buildings of at least three Aristotle University schools in protest. [size=no report]",0,1571160220,GRC
6025359,300,GRC1005,1005,2019-10-10,2019,1,Protests,Peaceful protest,Protesters (Greece),OENGE: National Federation of Unions of Greek Doctors; Health Workers (Greece),6,,,0,60,Europe,Greece,Attica,Athens,Central Athens,Athens-Central Athens,37.9685,23.7585,1,AMNA; ERT,National,"On 10 October, public hospital doctors from Athens and Piraeus with the support of their unions and federation ONGE protested at the Health Ministry against the decision to cancel the appointments of 208 specialist doctors. [size=no report]",0,1571160220,GRC
6025366,300,GRC997,997,2019-10-10,2019,1,Riots,Mob violence,Rioters (Greece),,5,Police Forces of Greece (2019-) Units for the Reinstatement of Order,,1,15,Europe,Greece,Attica,Athens,Central Athens,Athens-Central Athens,37.9685,23.7585,1,Ekathimerini; To Vima; AMNA,National,"On 10 October, about 25 people attacked a MAT riot police unit in Exarchia with petrol bombs and rocks. Police responded with chemicals and stun grenades. One police officer sustained a head injury. No detentions were reported. [size=about 25]",0,1571160220,GRC
6025651,300,GRC1006,1006,2019-10-10,2019,1,Protests,Peaceful protest,Protesters (Greece),Teachers (Greece),6,,,0,60,Europe,Greece,Attica,Athens,North Athens,Athens-North Athens,38.0465,23.8146,1,ERT,National,"On 10 October, substitute teachers protested at the Ministry of Education for speeding up the procedure for permanent appointments. [size=no report]",0,1571160220,GRC
6025678,300,GRC1012,1012,2019-10-10,2019,1,Protests,Peaceful protest,Protesters (Greece),Labour Group (Greece),6,,,0,60,Europe,Greece,Central Macedonia,Thessaloniki,Thessaloniki,Thessaloniki,40.6436,22.9309,1,MAKEDONIA,Subnational,"On 10 October, former Coca-Cola employees participated in a motorcade to protest for the re-opening of the factory producing Coca-Cola in Thessaloniki. [size=no report]",0,1571160220,GRC
6025890,300,GRC998,998,2019-10-10,2019,1,Protests,Peaceful protest,Protesters (International),Kurdish Ethnic Group (Greece); Refugees/IDPs (International); Refugees/IDPs (Syria),6,,,0,60,Europe,Greece,Central Greece,Euboea,Chalcis,Ritsona,38.4100,23.5236,1,To Vima,National,"On 10 October, about 600 Kurdish refugees many of them from Syria hosted in the Ritsona camp near Chalcis blocked symbolically the road in front of the reception centre and protested in tears holding banners against Turkey's military operation in Syria. [size=about 600]",0,1571160221,GRC
6025358,300,GRC1003,1003,2019-10-09,2019,1,Protests,Protest with intervention,Protesters (Greece),Rouvikonas,6,Police Forces of Greece (2019-),,1,16,Europe,Greece,Attica,Athens,Central Athens,Athens-Central Athens,37.9685,23.7585,1,Ekathimerini; To Vima,National,"On 9 October, 20-30 members of Rouvikonas entered the Ministry of Labour scattering fliers and reached the building's first floor to protest over the proposed labour law reforms. Police detained six people. [size=20-30]",0,1571160220,GRC
6025360,300,GRC1008,1008,2019-10-09,2019,1,Protests,Peaceful protest,Protesters (Greece),Kurdish Ethnic Group (Greece),6,,,0,60,Europe,Greece,Attica,Athens,Central Athens,Athens-Central Athens,37.9685,23.7585,1,To Pontiki; To Vima,National,"On 9 October, Kurdish men, women and children who reside in Greece marched in central Athens to protest against Turkey's military operation in Syria. Police forces had blocked the road before they reached the Turkish embassy. [size=no report]",0,1571160220,GRC
6025559,300,GRC999,999,2019-10-09,2019,1,Protests,Peaceful protest,Protesters (Greece),Health Workers (Greece),6,,,0,60,Europe,Greece,Attica,Athens,Central Athens,Athens-Central Athens,37.9685,23.7585,1,AMNA,National,"On 9 October, members and supporters of KETHEA rallied at the Ministry of Health to demonstrate against the proposed legislation to abolish KETHEA's self-management and to protest for the right to free, voluntary and dry (no drugs or substitutes) rehabilitation. [size=no report]",0,1571160220,GRC
6025560,300,GRC1007,1007,2019-10-09,2019,1,Protests,Peaceful protest,Protesters (Greece),Labour Group (Greece),6,,,0,60,Europe,Greece,Attica,West Attica,Eleusis,Eleusis,38.0452,23.5438,1,AMNA,National,"On 9 October, about 200 steel workers rallied in front of the steel factory in Eleusis and blocked symbolically one lane of the national road with direction from Corinth to Athens for half an hour to protest over unpaid wages in the last three months. [size=about 200]",0,1571160220,GRC
6025676,300,GRC1000,1000,2019-10-09,2019,1,Protests,Peaceful protest,Protesters (Greece),Health Workers (Greece),6,,,0,60,Europe,Greece,Central Macedonia,Thessaloniki,Thessaloniki,Thessaloniki,40.6436,22.9309,1,MAKEDONIA,Subnational,"On 9 October, members and supporters of KETHEA rallied at Aristotelous square in central Thessaloniki to protest against the proposed legislation to abolish KETHEA's self-management and express their concerns over the potential privatisation of the organisation. [size=no report]",0,1571160220,GRC
6025677,300,GRC1011,1011,2019-10-09,2019,1,Protests,Peaceful protest,Protesters (Greece),Labour Group (Greece),6,,,0,60,Europe,Greece,Central Macedonia,Thessaloniki,Thessaloniki,Thessaloniki,40.6436,22.9309,1,MAKEDONIA,Subnational,"On 9 October, pensioners from Thessaloniki and from Central Makedonia marched in central Thessaloniki to protest among other issues for a minimum pension of 600 euros. [size=no report]",0,1571160220,GRC
6025892,300,GRC1004,1004,2019-10-09,2019,1,Riots,Mob violence,Rioters (Greece),Anarchist Group (Greece),5,Civilians (Greece),LAE: Popular Unity,7,57,Europe,Greece,Attica,Athens,Central Athens,Athens-Central Athens,37.9685,23.7585,1,To Vima,National,"On 9 October, a group of anarchists targeted the leader of Popular Unity while he was walking in Exarchia. They were pushing and spitting on him, while they were insulting him for his participation in the SYRIZA government and his anti-migrant stance. They claimed responsibility on an anti-establishment website expressing their solidarity with migrants and threatening that next time they will hospitalise him. [size=no report]",0,1571160221,GRC
6025893,300,GRC1009,1009,2019-10-09,2019,1,Protests,Peaceful protest,Protesters (Greece),PAME: All-Workers Militant Front; Labour Group (Greece),6,,,0,60,Europe,Greece,Attica,Athens,Central Athens,Athens-Central Athens,37.9685,23.7585,1,To Vima,National,"On 9 October, members of PAME rallied outside a bank's main offices in Athens to protest against the foreclosure of a farmer's home. [size=no report]",0,1571160221,GRC
6025357,300,GRC1002,1002,2019-10-08,2019,1,Protests,Peaceful protest,Protesters (Greece),Rouvikonas,6,,,0,60,Europe,Greece,Thessaly,Magnesia,Volos,Volos,39.3730,22.9427,1,To Pontiki; To Vima,National,"On 8 October, 20 members of Rouvikonas from Athens and Thessaloniki and one member from Volos, entered the offices of a nursing home in Volos demanding not to evict an unemployed man and his daughter, who can not afford to pay rent. They collected the phones of all staff members, but they recorded their action themselves. [size=21]",0,1571160220,GRC
6160638,300,GRC1021,1021,2019-10-08,2019,1,Protests,Peaceful protest,Protesters (Greece),Students (Greece),6,,,0,60,Europe,Greece,Central Macedonia,Thessaloniki,Thessaloniki,Thessaloniki,40.6436,22.9309,1,ThessNews,Subnational,"On 8 October, secondary school students rallied at the entrance of two school buildings in Thessaloniki blocking the way and occupying their schools to protest for better conditions. They have been having classes in prefabricated buildings as a temporary measure after their previous school building was declared unsuitable seven years ago. [size=no report]",0,1571776728,GRC
6025891,300,GRC1010,1010,2019-10-07,2019,1,Protests,Peaceful protest,Protesters (Greece),,6,,,0,60,Europe,Greece,Central Macedonia,Thessaloniki,Thessaloniki,Thessaloniki,40.6436,22.9309,1,To Vima,National,"On 7 October, tens of people rallied at the city hall of Thessaloniki holding colourful umbrellas to protest against the removal of antiquities discovered during the construction of an underground station in the city centre for the city's Metro. [size=tens]",0,1571160221,GRC
6160590,300,GRC996,996,2019-10-06,2019,1,Strategic developments,Looting/property destruction,Rouvikonas,Labour Group (Greece),3,Civilians (Greece),Labour Group (Greece),7,37,Europe,Greece,Attica,Athens,North Athens,Athens-North Athens,38.0465,23.8146,1,Ekathimerini; AMNA; To Vima,National,"On 6 October, four members of Rouvikonas wearing motorcycle helmets -one of them recording their action- smashed with sledgehammers the office entrance of a mining company in North Athens and threw paint to protest over the death of an employee during working hours in the summer. [size=4]",0,1571776462,GRC
6018426,300,GRC993,993,2019-10-05,2019,1,Riots,Violent demonstration,Rioters (Greece),PAME: All-Workers Militant Front; KKE: Communist Party of Greece; ANTARSYA: Front of the Greek Anticapitalist Left; Labour Group (Greece),5,Police Forces of Greece (2019-) Units for the Reinstatement of Order,,1,15,Europe,Greece,Attica,Athens,Central Athens,Athens-Central Athens,37.9685,23.7585,1,To Pontiki; AMNA; Iefimerida; Ekathimerini,National,"On 5 October, during the visit of the US Secretary of State, a demonstration in central Athens organised by KKE, PAME, ANTARSYA and other far left groups against the renewal of a Greece-US defence cooperation agreement turned violent. Demonstrators burned flags and threw red paint at Truman's statue; riot police responded with the use of tear gas before members of PAME retaliated physically fighting with riot police officers. [size=no report]",0,1570553928,GRC
6018620,300,GRC995,995,2019-10-05,2019,1,Protests,Peaceful protest,Protesters (Greece),Labour Group (Greece); PAME: All-Workers Militant Front; Government of Greece (2019-),6,,,0,60,Europe,Greece,West Greece,Achaea,Patras,Patras,38.2444,21.7344,1,Alpha Patras,Subnational,"On 5 October, during the visit of the US Secretary of State in Athens, peace activists and labour groups, as well as members of PAME and of the local government, protested against the renewal of a Greece-US defence cooperation agreement. [size=no report]",0,1570553929,GRC
